course	roll	name	total
7	55855	Kochab	81
2	56716	Eltanin	105
6	56716	Eltanin	57
9	56716	Eltanin	129
1	57215	Nairal	38
6	57215	Nairal	78
7	57215	Nairal	58
2	59868	Betelgeuse	90
6	59868	Betelgeuse	34
8	59868	Betelgeuse	55
6	61028	Capella	51
8	61028	Capella	53
9	61028	Capella	63
3	63800	Dubhe	57
7	63800	Dubhe	34
8	63800	Dubhe	43
3	64839	Nunki	42
5	64839	Nunki	44
7	64839	Nunki	26
2	65917	Sirius	84
7	65917	Sirius	42
8	65917	Sirius	75
2	66519	Almach	78
4	66519	Almach	86
7	66519	Almach	73
2	66904	Caph	76
3	66904	Caph	76
8	66904	Caph	38
2	66909	Gienah	25
8	66909	Gienah	61
9	66909	Gienah	107
4	68069	Mintaka	92
6	68069	Mintaka	81
8	68069	Mintaka	43
3	68409	Procyon	33
5	68409	Procyon	56
7	68409	Procyon	66
3	68505	Naos	83
4	68505	Naos	105
5	68505	Naos	17
2	69158	Algieba	48
5	69158	Algieba	74
8	69158	Algieba	46
2	69829	Alioth	27
8	69829	Alioth	42
9	69829	Alioth	109
3	72262	Algol	26
4	72262	Algol	81
6	72262	Algol	98
3	73121	Enif	107
4	73121	Enif	93
8	73121	Enif	76
2	73938	Menkent	82
3	73938	Menkent	120
6	73938	Menkent	71
3	74647	Markab	70
4	74647	Markab	95
8	74647	Markab	109
2	75382	Atria	90
3	75382	Atria	55
5	75382	Atria	95
3	75463	Acrux	73
6	75463	Acrux	70
9	75463	Acrux	62
3	75522	Shaula	60
4	75522	Shaula	62
6	75522	Shaula	73
2	76711	Mirzam	61
3	76711	Mirzam	57
6	76711	Mirzam	119
2	77506	Muhlifain	65
3	77506	Muhlifain	42
6	77506	Muhlifain	34
4	77934	Alpheratz	82
6	77934	Alpheratz	89
9	77934	Alpheratz	96
4	81395	Dschubba	87
7	81395	Dschubba	83
8	81395	Dschubba	79
4	82238	Tsih	79
6	82238	Tsih	95
7	82238	Tsih	47
2	83529	Turais	96
6	83529	Turais	90
9	83529	Turais	47
3	86928	Capella B	102
5	86928	Capella B	93
7	86928	Capella B	53
1	88392	Mirfak	104
2	88392	Mirfak	132
4	88392	Mirfak	77
1	88510	Benetnasch	56
5	88510	Benetnasch	102
6	88510	Benetnasch	48
3	91461	Suhail	96
6	91461	Suhail	100
7	91461	Suhail	121
4	93581	Gacrux	62
6	93581	Gacrux	82
8	93581	Gacrux	90
2	94015	Merak	58
3	94015	Merak	77
6	94015	Merak	70
1	95257	Alphard	90
4	95257	Alphard	87
7	95257	Alphard	82
4	95733	Alnair	61
5	95733	Alnair	53
7	95733	Alnair	130
3	98545	Canopus	46
4	98545	Canopus	84
6	98545	Canopus	70
4	99623	Toliman	79
5	99623	Toliman	47
6	99623	Toliman	100
3	99798	Men	31
4	99798	Men	121
9	99798	Men	107
